number,company,symbol,ytd_return
201,VERALTO CORP,,   4.92%
202,OTIS WORLDWIDE CORP,,   4.86%
203,SIMON PROPERTY GROUP INC,,   4.83%
204,MICRON TECHNOLOGY INC,,   4.83%
205,BIO RAD LABORATORIES A,,   4.73%
206,HOLOGIC INC,,   4.70%
207,SYNCHRONY FINANCIAL,,   4.53%
208,PENTAIR PLC,,   4.46%
209,F5 INC,,   4.41%
210,GLOBE LIFE INC,,   4.41%
211,EXXON MOBIL CORP,,   4.27%
212,ZIMMER BIOMET HOLDINGS INC,,   4.26%
213,ELECTRONIC ARTS INC,,   4.22%
214,CME GROUP INC,,   4.20%
215,HUNT (JB) TRANSPRT SVCS INC,,   4.13%
216,PIONEER NATURAL RESOURCES CO,,   4.04%
217,HESS CORP,,   4.02%
218,LOWE S COS INC,,   3.94%
219,LYONDELLBASELL INDU CL A,,   3.93%
220,DELTA AIR LINES INC,,   3.88%
221,SEAGATE TECHNOLOGY HOLDINGS,,   3.85%
222,PTC INC,,   3.84%
223,ONEOK INC,,   3.83%
224,EVEREST GROUP LTD,,   3.80%
225,METLIFE INC,,   3.69%
226,PAYCHEX INC,,   3.58%
227,CHEVRON CORP,,   3.55%
228,LENNAR CORP A,,   3.42%
229,SHERWIN WILLIAMS CO/THE,,   3.40%
230,KROGER CO,,   3.39%
231,PRUDENTIAL FINANCIAL INC,,   3.22%
232,DARDEN RESTAURANTS INC,,   3.19%
233,WEST PHARMACEUTICAL SERVICES,,   3.17%
234,COCA COLA CO/THE,,   3.02%
235,OMNICOM GROUP,,   2.98%
236,HOST HOTELS + RESORTS INC,,   2.98%
237,PULTEGROUP INC,,   2.89%
238,UNION PACIFIC CORP,,   2.86%
239,PALO ALTO NETWORKS INC,,   2.68%
240,IDEXX LABORATORIES INC,,   2.67%
241,DOLLAR TREE INC,,   2.62%
242,JOHNSON + JOHNSON,,   2.58%
243,T ROWE PRICE GROUP INC,,   2.57%
244,CAPITAL ONE FINANCIAL CORP,,   2.57%
245,NORDSON CORP,,   2.54%
246,DIGITAL REALTY TRUST INC,,   2.51%
247,MOLSON COORS BEVERAGE CO   B,,   2.50%
248,DOW INC,,   2.24%
249,T MOBILE US INC,,   2.23%
